trial_no,vwap_buy_deviation,take_profit_pct,buy_confirm_min_score,notify_sell_threshold,notify_buy_threshold,stock_qty_strong_pct,stock_qty_base_pct,stock_rebuild_strong_pct,stock_first_add_pct,train_win_rate,train_total_pnl,train_n_trades,train_max_drawdown,train_annualized_return,train_composite_score,test_win_rate,test_total_pnl,test_n_trades,test_max_drawdown,test_annualized_return,test_composite_score,elapsed_sec,status
0,-0.02750919762305275,0.024014286128198326,26,58,44,0.3045980821176709,0.16452090304204986,0.9330880728874675,0.2803345035229627,0,0,0,0,0,-9999.0,0,0,0,0,0,0,201.3,ok
1,-0.02083854844407909,0.005411689885916049,30,65,46,0.3136387385224852,0.19585112746335845,0.6521211214797689,0.2574269294896714,0,0,0,0,0,-9999.0,0,0,0,0,0,0,244.3,ok
2,-0.026361099627157686,0.010824582803960838,24,44,49,0.3782266451527921,0.26401749605425895,0.8925879806965068,0.15990213464750794,0,0,0,0,0,-9999.0,0,0,0,0,0,0,273.7,ok
3,-0.02471531123172777,0.01684829137724085,15,58,45,0.27276805754484784,0.3872213843133333,0.9828160165372797,0.3425192044349384,0,0,0,0,0,-9999.0,0,0,0,0,0,0,245.5,ok
4,-0.028907724616532588,0.006953442280127677,25,53,43,0.42331191853894456,0.1585971302788046,0.954660201039391,0.1776339944800051,0,0,0,0,0,-9999.0,0,0,0,0,0,0,212.9,ok
5,-0.02174955431292036,0.01123422152178822,23,56,45,0.5893546197175954,0.34378320584027866,0.9697494707820946,0.3684482051282947,0,0,0,0,0,-9999.0,0,0,0,0,0,0,205.2,ok
6,-0.023042000423778297,0.02343748470046234,16,46,41,0.3638656157671425,0.2471693224223705,0.6356745158869479,0.34862125274557887,0,0,0,0,0,-9999.0,0,0,0,0,0,0,226.4,ok
7,-0.027864933466128217,0.010618690193747615,23,44,64,0.2760927252879198,0.39672173415012935,0.8861223846483287,0.15961470446025172,0,0,0,0,0,-9999.0,0,0,0,0,0,0,152.0,ok
8,-0.03488955765752796,0.021309228569096686,26,62,63,0.2759156281069316,0.23961643213606815,0.5579345297625649,0.35893102776267805,1.0,38.77,1,-0.1045,0.3278,73.9542,0,0,0,0,0,0,162.1,ok
9,-0.02253403746344884,0.011617960497052984,16,49,50,0.5053621624183224,0.3093893678388033,0.9436063712881633,0.2416644775485848,0,0,0,0,0,-9999.0,0,0,0,0,0,0,242.8,ok
10,-0.034410931781308954,0.018997500198431945,20,68,70,0.4748208098167502,0.2403279991104523,0.5080043736736909,0.1238122494789485,0,0,0,0,0,-9999.0,0,0,0,0,0,0,253.4,ok
11,-0.01565003302897241,0.024840773370517814,28,61,57,0.33269241977494507,0.16030279346224013,0.7633940140900649,0.2775050907790179,1.0,66.34,1,-0.0957,0.2975,73.3178,0,0,0,0,0,0,246.1,ok
12,-0.016781571856499887,0.020808385526911628,29,63,58,0.35000853988207425,0.21639090803900682,0.7371413413327704,0.3978737109236815,0,0,0,0,0,-9999.0,0,0,0,0,0,0,248.0,ok
13,-0.015079669365051293,0.024816177417718813,27,62,57,0.2589423231836902,0.28887297629107,0.7792417303352949,0.3056513824386803,1.0,60.34,1,-0.1045,0.3279,73.9862,0,0,0,0,0,0,186.4,ok
14,-0.03473719368564383,0.020978660520052154,27,70,58,0.2574449560391152,0.29342753496824275,0.545951505522861,0.3114781247804532,1.0,44.38,1,-0.1045,0.3278,73.9625,0,0,0,0,0,0,226.8,ok
15,-0.030508770323938606,0.01651026643832549,27,69,55,0.263612910509565,0.29191517542159107,0.8046299781052562,0.31980399699513196,1.0,35.04,1,-0.1045,0.3277,73.9487,0,0,0,0,0,0,212.8,ok
16,-0.018619311669201593,0.02155574518915082,21,70,62,0.2542257284316704,0.33048637014017573,0.6530521948401623,0.3043438762004795,0,0,0,0,0,-9999.0,0,0,0,0,0,0,231.6,ok
