trial_no,vwap_buy_deviation,take_profit_pct,buy_confirm_min_score,notify_sell_threshold,notify_buy_threshold,stock_qty_strong_pct,stock_qty_base_pct,stock_rebuild_strong_pct,stock_first_add_pct,train_win_rate,train_total_pnl,train_n_trades,train_max_drawdown,train_annualized_return,train_composite_score,test_win_rate,test_total_pnl,test_n_trades,test_max_drawdown,test_annualized_return,test_composite_score,elapsed_sec,status
0,-0.02750919762305275,0.024014286128198326,26,58,44,0.3045980821176709,0.16452090304204986,0.9330880728874675,0.2803345035229627,0,0,0,0,0,-9999.0,0,0,0,0,0,0,195.3,ok
1,-0.02083854844407909,0.005411689885916049,30,65,46,0.3136387385224852,0.19585112746335845,0.6521211214797689,0.2574269294896714,0,0,0,0,0,-9999.0,0,0,0,0,0,0,242.8,ok
2,-0.026361099627157686,0.010824582803960838,24,44,49,0.3782266451527921,0.26401749605425895,0.8925879806965068,0.15990213464750794,0,0,0,0,0,-9999.0,0,0,0,0,0,0,268.3,ok
3,-0.02471531123172777,0.01684829137724085,15,58,45,0.27276805754484784,0.3872213843133333,0.9828160165372797,0.3425192044349384,0,0,0,0,0,-9999.0,0,0,0,0,0,0,270.4,ok
4,-0.028907724616532588,0.006953442280127677,25,53,43,0.42331191853894456,0.1585971302788046,0.954660201039391,0.1776339944800051,0,0,0,0,0,-9999.0,0,0,0,0,0,0,210.6,ok
5,-0.02174955431292036,0.01123422152178822,23,56,45,0.5893546197175954,0.34378320584027866,0.9697494707820946,0.3684482051282947,0,0,0,0,0,-9999.0,0,0,0,0,0,0,190.8,ok
6,-0.023042000423778297,0.02343748470046234,16,46,41,0.3638656157671425,0.2471693224223705,0.6356745158869479,0.34862125274557887,0,0,0,0,0,-9999.0,0,0,0,0,0,0,237.5,ok
7,-0.027864933466128217,0.010618690193747615,23,44,64,0.2760927252879198,0.39672173415012935,0.8861223846483287,0.15961470446025172,0,0,0,0,0,-9999.0,0,0,0,0,0,0,180.1,ok
8,-0.03488955765752796,0.021309228569096686,26,62,63,0.2759156281069316,0.23961643213606815,0.5579345297625649,0.35893102776267805,0,0,0,0,0,-9999.0,0,0,0,0,0,0,177.0,ok
9,-0.02253403746344884,0.011617960497052984,16,49,50,0.5053621624183224,0.3093893678388033,0.9436063712881633,0.2416644775485848,0,0,0,0,0,-9999.0,0,0,0,0,0,0,224.2,ok
10,-0.01596934993185022,0.018420143281741862,20,68,57,0.47499766065262794,0.15389869991461402,0.7582432323144613,0.271164359464505,0,0,0,0,0,-9999.0,0,0,0,0,0,0,253.5,ok
11,-0.017254503406931257,0.005445912992061371,30,66,53,0.33994360779901106,0.2057737265956404,0.7469198044427873,0.26807492509096725,0,0,0,0,0,-9999.0,0,0,0,0,0,0,265.8,ok
12,-0.03133913011812186,0.015363183313286373,30,62,56,0.3361747555773743,0.18243904868758143,0.7637290960942383,0.22609950990249134,0,0,0,0,0,-9999.0,0,0,0,0,0,0,284.6,ok
13,-0.01840026794660545,0.0244750371009845,28,70,40,0.31019236661843597,0.20805637339895452,0.6561174679610582,0.3056513824386803,0,0,0,0,0,-9999.0,0,0,0,0,0,0,217.9,ok
14,-0.020403303409365973,0.020227184610824435,27,63,48,0.3965902483246923,0.20055386272528306,0.8392389079005292,0.20902195971243354,0,0,0,0,0,-9999.0,0,0,0,0,0,0,234.7,ok
